Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-zmvq,counterbalance-5cg9,branch-65sy,Manipulation: Randomise questionnaire elements?,Question Key,Response
2,1770912251101,12/02/2026 16:04:11,1770912252107,-6,12/02/2026 10:04:12,249979,6,questionnaire-qemh,,52666561,BLINDED,15130816,,complete,,698df3c5357d3b667db62651,computer,Desktop or Laptop,Windows 10,Chrome 144.0.0.0,1715x965,1049x763,,,,Generic Demographics,3,J_YES,1,consentProvided,No,Gender,Woman
3,1770912251316,12/02/2026 16:04:11,1770912252108,-6,12/02/2026 10:04:12,249979,6,questionnaire-qemh,,52666561,BLINDED,15130816,,complete,,698df3c5357d3b667db62651,computer,Desktop or Laptop,Windows 10,Chrome 144.0.0.0,1715x965,1049x763,,,,Generic Demographics,3,J_YES,1,consentProvided,No,Gender-quantised,1
4,1770912251316,12/02/2026 16:04:11,1770912252108,-6,12/02/2026 10:04:12,249979,6,questionnaire-qemh,,52666561,BLINDED,15130816,,complete,,698df3c5357d3b667db62651,computer,Desktop or Laptop,Windows 10,Chrome 144.0.0.0,1715x965,1049x763,,,,Generic Demographics,3,J_YES,1,consentProvided,No,Gender-text,
5,1770912251316,12/02/2026 16:04:11,1770912252108,-6,12/02/2026 10:04:12,249979,6,questionnaire-qemh,,52666561,BLINDED,15130816,,complete,,698df3c5357d3b667db62651,computer,Desktop or Laptop,Windows 10,Chrome 144.0.0.0,1715x965,1049x763,,,,Generic Demographics,3,J_YES,1,consentProvided,No,Age,63
6,1770912251316,12/02/2026 16:04:11,1770912252108,-6,12/02/2026 10:04:12,249979,6,questionnaire-qemh,,52666561,BLINDED,15130816,,complete,,698df3c5357d3b667db62651,computer,Desktop or Laptop,Windows 10,Chrome 144.0.0.0,1715x965,1049x763,,,,Generic Demographics,3,J_YES,1,consentProvided,No,cultural-arab-text,
7,1770912251316,12/02/2026 16:04:11,1770912252108,-6,12/02/2026 10:04:12,249979,6,questionnaire-qemh,,52666561,BLINDED,15130816,,complete,,698df3c5357d3b667db62651,computer,Desktop or Laptop,Windows 10,Chrome 144.0.0.0,1715x965,1049x763,,,,Generic Demographics,3,J_YES,1,consentProvided,No,cultural-asian-text,
8,1770912251316,12/02/2026 16:04:11,1770912252108,-6,12/02/2026 10:04:12,249979,6,questionnaire-qemh,,52666561,BLINDED,15130816,,complete,,698df3c5357d3b667db62651,computer,Desktop or Laptop,Windows 10,Chrome 144.0.0.0,1715x965,1049x763,,,,Generic Demographics,3,J_YES,1,consentProvided,No,cultural-black-text,
9,1770912251316,12/02/2026 16:04:11,1770912252108,-6,12/02/2026 10:04:12,249979,6,questionnaire-qemh,,52666561,BLINDED,15130816,,complete,,698df3c5357d3b667db62651,computer,Desktop or Laptop,Windows 10,Chrome 144.0.0.0,1715x965,1049x763,,,,Generic Demographics,3,J_YES,1,consentProvided,No,cultural-multiple-text,
10,1770912251316,12/02/2026 16:04:11,1770912252108,-6,12/02/2026 10:04:12,249979,6,questionnaire-qemh,,52666561,BLINDED,15130816,,complete,,698df3c5357d3b667db62651,computer,Desktop or Laptop,Windows 10,Chrome 144.0.0.0,1715x965,1049x763,,,,Generic Demographics,3,J_YES,1,consentProvided,No,cultural-white,British or English or Scottish or Welsh or Northern Irish
11,1770912251316,12/02/2026 16:04:11,1770912252109,-6,12/02/2026 10:04:12,249979,6,questionnaire-qemh,,52666561,BLINDED,15130816,,complete,,698df3c5357d3b667db62651,computer,Desktop or Laptop,Windows 10,Chrome 144.0.0.0,1715x965,1049x763,,,,Generic Demographics,3,J_YES,1,consentProvided,No,cultural-white-quantised,1
12,1770912251316,12/02/2026 16:04:11,1770912252109,-6,12/02/2026 10:04:12,249979,6,questionnaire-qemh,,52666561,BLINDED,15130816,,complete,,698df3c5357d3b667db62651,computer,Desktop or Laptop,Windows 10,Chrome 144.0.0.0,1715x965,1049x763,,,,Generic Demographics,3,J_YES,1,consentProvided,No,cultural-white-text,
13,1770912251316,12/02/2026 16:04:11,1770912252109,-6,12/02/2026 10:04:12,249979,6,questionnaire-qemh,,52666561,BLINDED,15130816,,complete,,698df3c5357d3b667db62651,computer,Desktop or Laptop,Windows 10,Chrome 144.0.0.0,1715x965,1049x763,,,,Generic Demographics,3,J_YES,1,consentProvided,No,cultural-another-text,
14,1770912251316,12/02/2026 16:04:11,1770912252109,-6,12/02/2026 10:04:12,249979,6,questionnaire-qemh,,52666561,BLINDED,15130816,,complete,,698df3c5357d3b667db62651,computer,Desktop or Laptop,Windows 10,Chrome 144.0.0.0,1715x965,1049x763,,,,Generic Demographics,3,J_YES,1,consentProvided,No,END QUESTIONNAIRE,19960
1,1770912478189,12/02/2026 16:07:58,1770912412616,-5,12/02/2026 11:06:52,249979,6,questionnaire-qemh,,52666887,BLINDED,15130866,,complete,,698df6a0f229dcca9a8d590f,computer,Desktop or Laptop,Windows 10,Firefox 147.0,1600x900,1600x738,,,,Generic Demographics,3,F_YES,2,consentProvided,No,BEGIN QUESTIONNAIRE,
2,1770912516472,12/02/2026 16:08:36,1770912450869,-5,12/02/2026 11:07:30,249979,6,questionnaire-qemh,,52666887,BLINDED,15130866,,complete,,698df6a0f229dcca9a8d590f,computer,Desktop or Laptop,Windows 10,Firefox 147.0,1600x900,1600x738,,,,Generic Demographics,3,F_YES,2,consentProvided,No,Gender,Man
3,1770912516582,12/02/2026 16:08:36,1770912450870,-5,12/02/2026 11:07:30,249979,6,questionnaire-qemh,,52666887,BLINDED,15130866,,complete,,698df6a0f229dcca9a8d590f,computer,Desktop or Laptop,Windows 10,Firefox 147.0,1600x900,1600x738,,,,Generic Demographics,3,F_YES,2,consentProvided,No,Gender-quantised,2
4,1770912516582,12/02/2026 16:08:36,1770912450870,-5,12/02/2026 11:07:30,249979,6,questionnaire-qemh,,52666887,BLINDED,15130866,,complete,,698df6a0f229dcca9a8d590f,computer,Desktop or Laptop,Windows 10,Firefox 147.0,1600x900,1600x738,,,,Generic Demographics,3,F_YES,2,consentProvided,No,Gender-text,
5,1770912516582,12/02/2026 16:08:36,1770912450870,-5,12/02/2026 11:07:30,249979,6,questionnaire-qemh,,52666887,BLINDED,15130866,,complete,,698df6a0f229dcca9a8d590f,computer,Desktop or Laptop,Windows 10,Firefox 147.0,1600x900,1600x738,,,,Generic Demographics,3,F_YES,2,consentProvided,No,Age,25
6,1770912516582,12/02/2026 16:08:36,1770912450870,-5,12/02/2026 11:07:30,249979,6,questionnaire-qemh,,52666887,BLINDED,15130866,,complete,,698df6a0f229dcca9a8d590f,computer,Desktop or Laptop,Windows 10,Firefox 147.0,1600x900,1600x738,,,,Generic Demographics,3,F_YES,2,consentProvided,No,cultural-arab,Arab or Arab British
7,1770912516582,12/02/2026 16:08:36,1770912450870,-5,12/02/2026 11:07:30,249979,6,questionnaire-qemh,,52666887,BLINDED,15130866,,complete,,698df6a0f229dcca9a8d590f,computer,Desktop or Laptop,Windows 10,Firefox 147.0,1600x900,1600x738,,,,Generic Demographics,3,F_YES,2,consentProvided,No,cultural-arab-quantised,1
8,1770912516582,12/02/2026 16:08:36,1770912450870,-5,12/02/2026 11:07:30,249979,6,questionnaire-qemh,,52666887,BLINDED,15130866,,complete,,698df6a0f229dcca9a8d590f,computer,Desktop or Laptop,Windows 10,Firefox 147.0,1600x900,1600x738,,,,Generic Demographics,3,F_YES,2,consentProvided,No,cultural-arab-text,
9,1770912516582,12/02/2026 16:08:36,1770912450870,-5,12/02/2026 11:07:30,249979,6,questionnaire-qemh,,52666887,BLINDED,15130866,,complete,,698df6a0f229dcca9a8d590f,computer,Desktop or Laptop,Windows 10,Firefox 147.0,1600x900,1600x738,,,,Generic Demographics,3,F_YES,2,consentProvided,No,cultural-asian-text,
10,1770912516582,12/02/2026 16:08:36,1770912450870,-5,12/02/2026 11:07:30,249979,6,questionnaire-qemh,,52666887,BLINDED,15130866,,complete,,698df6a0f229dcca9a8d590f,computer,Desktop or Laptop,Windows 10,Firefox 147.0,1600x900,1600x738,,,,Generic Demographics,3,F_YES,2,consentProvided,No,cultural-black-text,
11,1770912516582,12/02/2026 16:08:36,1770912450871,-5,12/02/2026 11:07:30,249979,6,questionnaire-qemh,,52666887,BLINDED,15130866,,complete,,698df6a0f229dcca9a8d590f,computer,Desktop or Laptop,Windows 10,Firefox 147.0,1600x900,1600x738,,,,Generic Demographics,3,F_YES,2,consentProvided,No,cultural-multiple-text,
12,1770912516582,12/02/2026 16:08:36,1770912450871,-5,12/02/2026 11:07:30,249979,6,questionnaire-qemh,,52666887,BLINDED,15130866,,complete,,698df6a0f229dcca9a8d590f,computer,Desktop or Laptop,Windows 10,Firefox 147.0,1600x900,1600x738,,,,Generic Demographics,3,F_YES,2,consentProvided,No,cultural-white,British or English or Scottish or Welsh or Northern Irish
13,1770912516582,12/02/2026 16:08:36,1770912450871,-5,12/02/2026 11:07:30,249979,6,questionnaire-qemh,,52666887,BLINDED,15130866,,complete,,698df6a0f229dcca9a8d590f,computer,Desktop or Laptop,Windows 10,Firefox 147.0,1600x900,1600x738,,,,Generic Demographics,3,F_YES,2,consentProvided,No,cultural-white-quantised,1
14,1770912516582,12/02/2026 16:08:36,1770912450871,-5,12/02/2026 11:07:30,249979,6,questionnaire-qemh,,52666887,BLINDED,15130866,,complete,,698df6a0f229dcca9a8d590f,computer,Desktop or Laptop,Windows 10,Firefox 147.0,1600x900,1600x738,,,,Generic Demographics,3,F_YES,2,consentProvided,No,cultural-white-text,
15,1770912516582,12/02/2026 16:08:36,1770912450871,-5,12/02/2026 11:07:30,249979,6,questionnaire-qemh,,52666887,BLINDED,15130866,,complete,,698df6a0f229dcca9a8d590f,computer,Desktop or Laptop,Windows 10,Firefox 147.0,1600x900,1600x738,,,,Generic Demographics,3,F_YES,2,consentProvided,No,cultural-another-text,
16,1770912516582,12/02/2026 16:08:36,1770912450871,-5,12/02/2026 11:07:30,249979,6,questionnaire-qemh,,52666887,BLINDED,15130866,,complete,,698df6a0f229dcca9a8d590f,computer,Desktop or Laptop,Windows 10,Firefox 147.0,1600x900,1600x738,,,,Generic Demographics,3,F_YES,2,consentProvided,No,END QUESTIONNAIRE,38255
1,1770912503724,12/02/2026 16:08:23,1770912503602,-6,12/02/2026 10:08:23,249979,6,questionnaire-qemh,,52666929,BLINDED,15130868,,complete,,698df6a51ea53ae88bc94c32,computer,Desktop or Laptop,Mac OS 10.15,Firefox 147.0,3440x1440,1926x1019,,,,Generic Demographics,3,J_YES,2,consentProvided,No,BEGIN QUESTIONNAIRE,
2,1770912526805,12/02/2026 16:08:46,1770912526721,-6,12/02/2026 10:08:46,249979,6,questionnaire-qemh,,52666929,BLINDED,15130868,,complete,,698df6a51ea53ae88bc94c32,computer,Desktop or Laptop,Mac OS 10.15,Firefox 147.0,3440x1440,1911x1019,,,,Generic Demographics,3,J_YES,2,consentProvided,No,Gender,Man
3,1770912526939,12/02/2026 16:08:46,1770912526723,-6,12/02/2026 10:08:46,249979,6,questionnaire-qemh,,52666929,BLINDED,15130868,,complete,,698df6a51ea53ae88bc94c32,computer,Desktop or Laptop,Mac OS 10.15,Firefox 147.0,3440x1440,1911x1019,,,,Generic Demographics,3,J_YES,2,consentProvided,No,Gender-quantised,2
4,1770912526939,12/02/2026 16:08:46,1770912526723,-6,12/02/2026 10:08:46,249979,6,questionnaire-qemh,,52666929,BLINDED,15130868,,complete,,698df6a51ea53ae88bc94c32,computer,Desktop or Laptop,Mac OS 10.15,Firefox 147.0,3440x1440,1911x1019,,,,Generic Demographics,3,J_YES,2,consentProvided,No,Gender-text,
5,1770912526939,12/02/2026 16:08:46,1770912526723,-6,12/02/2026 10:08:46,249979,6,questionnaire-qemh,,52666929,BLINDED,15130868,,complete,,698df6a51ea53ae88bc94c32,computer,Desktop or Laptop,Mac OS 10.15,Firefox 147.0,3440x1440,1911x1019,,,,Generic Demographics,3,J_YES,2,consentProvided,No,Age,35
